elapsed_ms	rss_kib	vm_hwm_kib	vm_size_kib	state
0	42396	43524	4881276	S
0	87112	88064	5363612	S
0	176444	176628	5761896	S
0	208112	208140	6028152	S
1000	216772	216820	6028152	S
1000	236336	236404	6294408	S
1000	279796	280176	6360972	S
1000	268028	280800	6560664	S
2000	303852	304040	6627228	S
2000	319364	319616	6627228	S
2000	342376	343092	6627228	S
2000	358856	359148	6627228	S
2000	361760	364344	6627228	S
3000	403480	403572	6627228	S
3000	374120	406708	6627228	S
3000	395792	406708	6627296	S
3000	404880	406708	6627296	S
4000	460768	462628	6627296	S
4000	465984	466044	6627296	S
4000	473532	474796	6627296	S
4000	515220	515264	6627296	S
4000	520924	521056	6627296	S
5000	527908	527932	6627296	S
5000	531912	532756	6627296	S
5000	480556	532756	6627296	S
5000	481020	532756	6627296	S
6000	486068	532756	6627296	S
6000	546560	547684	6627296	S
6000	550820	556108	6627296	S
6000	566236	566272	6627296	S
6000	578168	578312	6692832	S
7000	586808	586856	6758368	S
7000	589476	589476	7157808	S
7000	593624	593624	7224368	S
8000	593624	593624	7224368	S
8000	593624	593624	7224368	S
8000	593624	593624	7224368	S
8000	593624	593624	7224368	S
9000	593624	593624	7224368	S
9000	593624	593624	7224368	S
9000	593624	593624	7224368	S
9000	593624	593624	7224368	S
9000	593624	593624	7224368	S
10000	593624	593624	7224368	S
10000	593624	593624	7224368	S
10000	593624	593624	7224368	S
10000	593636	593636	7224368	S
11000	593636	593636	7224368	S
11000	593636	593636	7224368	S
11000	593636	593636	7224368	S
11000	593636	593636	7224368	S
11000	593636	593636	7224368	S
12000	593636	593636	7224368	S
