3776508:
 num     #instances         #bytes  class name (module)
  97:           533         119392  jdk.internal.org.objectweb.asm.MethodWriter (java.base@21.0.11)
  98:          1806         115584  clojure.asm.FieldWriter
  99:          1107         115128  java.util.jar.JarFile$JarFileEntry (java.base@21.0.11)
 100:          3501         112032  java.lang.ref.WeakReference (java.base@21.0.11)
 101:          4570         109680  clojure.spec.alpha$filter_alt$fn__2323
 102:          6652         106432  [Ljava.security.Principal; (java.base@21.0.11)
 103:          6652         106432  java.security.ProtectionDomain$Key (java.base@21.0.11)
 104:          3183         101856  java.io.File (java.base@21.0.11)
 105:          2521         100840  clojure.lang.Compiler$LocalBindingExpr
 106:          4717         100544  [Lclojure.asm.Type;
 107:          1569         100416  java.util.LinkedHashMap (java.base@21.0.11)
 108:          5952          95232  java.util.concurrent.atomic.AtomicBoolean (java.base@21.0.11)
 109:          1683          94248  org.apache.tika.mime.MimeType
 110:          2269          90760  clojure.lang.Repeat
 111:          5506          88096  clojure.lang.PersistentHashSet$TransientHashSet
 112:           352          87216  [Z (java.base@21.0.11)
 113:           367          87024  [J (java.base@21.0.11)
 114:          2103          84120  sun.util.locale.LocaleObjectCache$CacheEntry (java.base@21.0.11)
 115:          3356          80544  clojure.asm.ByteVector
 116:          3168          76032  clojure.lang.Keyword
 117:          2305          73760  java.util.UUID (java.base@21.0.11)
 118:          4570          73120  clojure.spec.alpha$filter_alt$fn__2325
 119:          1249          69944  clojure.lang.Compiler$InvokeExpr
 120:          2836          68064  clojure.lang.Compiler$PathNode
 121:          1365          65520  org.apache.tika.detect.MagicDetector
 122:          1108          62048  jdk.internal.org.objectweb.asm.Label (java.base@21.0.11)
 123:          1089          60984  clojure.asm.commons.GeneratorAdapter
 124:          1243          59664  jdk.internal.ref.CleanerImpl$PhantomCleanableRef (java.base@21.0.11)
 125:          2468          59232  java.lang.PublicMethods$Key (java.base@21.0.11)
 126:          1846          59072  org.apache.tika.mime.MediaType
 127:          3623          57968  [Ljava.util.regex.IntHashSet; (java.base@21.0.11)
 128:          1013          56728  java.util.zip.ZipFile$ZipFileInputStream (java.base@21.0.11)
 129:          1717          54944  jdk.internal.util.WeakReferenceKey (java.base@21.0.11)
 130:          1365          54600  org.apache.tika.mime.MagicMatch
 131:          2270          54480  java.util.ImmutableCollections$List12 (java.base@21.0.11)
 132:          2185          52440  java.lang.PublicMethods$MethodList (java.base@21.0.11)
 133:          1077          51696  clojure.lang.Compiler$LocalBinding
 134:            22          51488  [Ljava.util.Locale; (java.base@21.0.11)
 135:          2086          50064  clojure.spec.alpha$deriv$fn__2412
 136:          1013          48624  java.util.zip.ZipFile$ZipFileInflaterInputStream (java.base@21.0.11)
 137:          1934          46416  clojure.core$take$fn__5999
 138:          1136          45440  java.util.WeakHashMap$Entry (java.base@21.0.11)
 139:          1254          40128  java.lang.invoke.LambdaForm$Name (java.base@21.0.11)
 140:           995          39800  jdk.internal.loader.URLClassPath$JarLoader$2 (java.base@21.0.11)
 141:           285          38760  clojure.lang.Compiler$2
 142:          1179          37728  clojure.lang.ChunkedCons
 143:           786          37072  [Ljava.lang.reflect.Field; (java.base@21.0.11)
 144:          2304          36864  clojure.lang.KeywordLookupSite
 145:           242          36784  jdk.internal.org.objectweb.asm.ClassWriter (java.base@21.0.11)
 146:          1524          36576  jdk.jfr.AnnotationElement (jdk.jfr@21.0.11)
 147:           251          36144  clojure.lang.Compiler$FnExpr
 148:          1468          35232  jdk.jfr.internal.AnnotationConstruct (jdk.jfr@21.0.11)
 149:          1069          34208  java.util.Locale (java.base@21.0.11)
 150:          2078          33248  clojure.core$concat$cat__5581
 151:          1030          32960  clojure.core$partition$fn__6082
 152:           780          31200  jdk.jfr.ValueDescriptor (jdk.jfr@21.0.11)
 153:          1273          30552  jdk.internal.org.objectweb.asm.ByteVector (java.base@21.0.11)
 154:          1253          30072  clojure.lang.Compiler$VarExpr
 155:          1243          29832  clojure.lang.ArrayChunk
 156:           573          28728  [Ljava.lang.invoke.LambdaForm$Name; (java.base@21.0.11)
 157:           362          27512  [Ljava.lang.ref.SoftReference; (java.base@21.0.11)
 158:           847          27104  org.apache.tika.mime.Magic
 159:           556          26688  jdk.internal.org.objectweb.asm.Frame (java.base@21.0.11)
 160:           365          26248  [S (java.base@21.0.11)
 161:           811          25952  java.util.Formatter$FormatSpecifier (java.base@21.0.11)
 162:           245          25480  [Lclojure.lang.Compiler$FnMethod;
 163:           450          25200  clojure.lang.Compiler$StaticMethodExpr
 164:           622          24880  sci.lang.Var
 165:          1013          24312  java.util.zip.ZipFile$InflaterCleanupAction (java.base@21.0.11)
 166:          1486          23776  jdk.internal.util.StrongReferenceKey (java.base@21.0.11)
 167:           422          23632  java.util.stream.ReferencePipeline$Head (java.base@21.0.11)
 168:           735          23520  java.util.ArrayList$Itr (java.base@21.0.11)
 169:           572          22880  java.util.StringJoiner (java.base@21.0.11)
 170:           708          22656  com.sun.org.apache.xerces.internal.xni.QName (java.xml@21.0.11)
 171:           255          22440  clojure.lang.Compiler$FnMethod
 172:           360          20160  java.util.stream.ReferencePipeline$3 (java.base@21.0.11)
 173:           492          19680  com.fasterxml.jackson.databind.deser.std.UntypedObjectDeserializerNR$Scope
 174:           811          19464  java.util.Formatter$FixedString (java.base@21.0.11)
 175:           788          18912  java.util.regex.Pattern$BmpCharProperty (java.base@21.0.11)
 176:           787          18888  java.util.Collections$SingletonList (java.base@21.0.11)
 177:          1168          18688  clojure.lang.Compiler$KeywordExpr
 178:           179          18616  java.lang.invoke.InnerClassLambdaMetafactory (java.base@21.0.11)
 179:           285          18240  clojure.asm.SymbolTable
 180:           743          17832  java.lang.module.ModuleDescriptor$Exports (java.base@21.0.11)
 181:           198          17424  java.util.regex.Pattern (java.base@21.0.11)
