arm	block	position	elapsed_ms
off	0	0	10.743625
off	0	1	6.452375
off	0	2	6.850333
off	0	3	5.337125
off	0	4	4.63375
off	0	5	4.266834
off	0	6	5.843375
off	0	7	5.0045
off	0	8	4.60575
off	0	9	3.686209
off	0	10	3.914125
off	0	11	3.768208
off	0	12	3.86925
off	0	13	3.592917
off	0	14	3.85475
off	0	15	5.107459
off	0	16	4.251458
off	0	17	3.804083
off	0	18	6.304708
off	0	19	4.545958
off	0	20	4.880125
off	0	21	5.71425
off	0	22	5.635916
off	0	23	3.926167
off	0	24	3.571709
off	0	25	5.03125
off	0	26	4.639541
off	0	27	4.035834
off	0	28	4.335334
off	0	29	6.470667
off	0	30	6.94
off	0	31	4.775875
off	0	32	7.838541
off	0	33	5.680625
off	0	34	7.313875
off	0	35	4.583208
off	0	36	4.976125
off	0	37	4.931459
off	0	38	6.642375
off	0	39	3.345917
off	0	40	4.623125
off	0	41	4.906083
off	0	42	3.696334
off	0	43	3.305
off	0	44	6.810375
off	0	45	4.695083
off	0	46	3.602208
off	0	47	3.124667
off	0	48	3.581875
off	0	49	3.181333
on	0	0	5.644958
on	0	1	6.16375
on	0	2	10.210458
on	0	3	6.5055
on	0	4	6.328375
on	0	5	8.76225
on	0	6	7.263708
on	0	7	6.631708
on	0	8	4.307666
on	0	9	8.132417
on	0	10	4.85325
on	0	11	3.5135
on	0	12	4.360083
on	0	13	4.63175
on	0	14	7.753333
on	0	15	7.823875
on	0	16	5.268417
on	0	17	5.250333
on	0	18	6.088334
on	0	19	9.068333
on	0	20	4.979792
on	0	21	6.387
on	0	22	4.884708
on	0	23	7.706583
on	0	24	6.913125
on	0	25	7.55925
on	0	26	7.136917
on	0	27	4.126667
on	0	28	4.385333
on	0	29	3.832708
on	0	30	4.146875
on	0	31	4.705584
on	0	32	4.060583
on	0	33	4.324917
on	0	34	3.829
on	0	35	3.060833
on	0	36	3.101292
on	0	37	3.5895
on	0	38	5.397625
on	0	39	4.380833
on	0	40	5.403833
on	0	41	5.574958
on	0	42	4.198958
on	0	43	4.047083
on	0	44	6.668875
on	0	45	4.499292
on	0	46	3.214333
on	0	47	4.336041
on	0	48	4.586125
on	0	49	5.708459
on	1	0	3.535792
on	1	1	3.1155
on	1	2	3.59125
on	1	3	2.886334
on	1	4	2.678834
on	1	5	2.157792
on	1	6	2.236666
on	1	7	2.686459
on	1	8	3.284125
on	1	9	3.258542
on	1	10	3.291209
on	1	11	2.756125
on	1	12	3.536833
on	1	13	4.444542
on	1	14	4.310167
on	1	15	2.944625
on	1	16	3.024666
on	1	17	4.776
on	1	18	3.247292
on	1	19	3.528875
on	1	20	7.38925
on	1	21	4.263542
on	1	22	3.504334
on	1	23	2.637708
on	1	24	2.4445
on	1	25	3.055833
on	1	26	4.280083
on	1	27	2.861958
on	1	28	2.974458
on	1	29	2.4495
on	1	30	3.386
on	1	31	4.893125
on	1	32	3.745875
on	1	33	2.927834
on	1	34	2.303417
on	1	35	2.576416
on	1	36	2.858083
on	1	37	3.185208
on	1	38	3.117458
on	1	39	2.514
on	1	40	2.314875
on	1	41	2.218334
on	1	42	2.60425
on	1	43	3.776041
on	1	44	3.197166
on	1	45	2.741209
on	1	46	2.801791
on	1	47	2.643458
on	1	48	2.905166
on	1	49	2.946375
off	1	0	2.106
off	1	1	1.784584
off	1	2	2.377083
off	1	3	2.150125
off	1	4	1.850917
off	1	5	1.982666
off	1	6	2.163333
off	1	7	2.7475
off	1	8	3.768917
off	1	9	1.977667
off	1	10	1.864083
off	1	11	4.362625
off	1	12	2.715208
off	1	13	4.342083
off	1	14	3.31525
off	1	15	2.018916
off	1	16	4.421083
off	1	17	5.894
off	1	18	2.562167
off	1	19	2.922208
off	1	20	2.416
off	1	21	2.240416
off	1	22	2.366083
off	1	23	1.845959
off	1	24	1.878209
off	1	25	1.793042
off	1	26	1.597416
off	1	27	1.360334
off	1	28	1.418958
off	1	29	1.488166
off	1	30	1.32225
off	1	31	1.527166
off	1	32	1.996541
off	1	33	2.256833
off	1	34	1.94375
off	1	35	1.835208
off	1	36	2.110333
off	1	37	3.146125
off	1	38	2.610042
off	1	39	2.642084
off	1	40	4.351792
off	1	41	5.79075
off	1	42	2.40725
off	1	43	2.384958
off	1	44	2.662417
off	1	45	2.463875
off	1	46	1.77875
off	1	47	1.492083
off	1	48	1.503417
off	1	49	1.543375
