arm	block	position	elapsed_ms
off	0	0	5.173583
off	0	1	4.564042
off	0	2	4.829458
off	0	3	4.749916
off	0	4	4.582209
off	0	5	3.806542
off	0	6	3.941167
off	0	7	5.351
off	0	8	5.04325
off	0	9	3.701125
off	0	10	4.288041
off	0	11	5.218833
off	0	12	4.301041
off	0	13	3.935833
off	0	14	4.172708
off	0	15	3.635042
off	0	16	3.5345
off	0	17	2.992
off	0	18	3.393292
off	0	19	3.542958
off	0	20	3.926791
off	0	21	3.572041
off	0	22	3.323042
off	0	23	4.748709
off	0	24	4.481125
off	0	25	5.328375
off	0	26	3.629208
off	0	27	3.392708
off	0	28	5.03975
off	0	29	3.664
off	0	30	13.558417
off	0	31	4.519042
off	0	32	6.290291
off	0	33	6.69625
off	0	34	15.561917
off	0	35	4.868666
off	0	36	2.998916
off	0	37	2.935583
off	0	38	3.334375
off	0	39	2.907
off	0	40	3.068333
off	0	41	2.536416
off	0	42	2.889
off	0	43	3.294625
off	0	44	4.353625
off	0	45	3.482334
off	0	46	2.5295
off	0	47	3.288333
off	0	48	4.179334
off	0	49	3.454
on	0	0	6.008416
on	0	1	9.497041
on	0	2	7.163333
on	0	3	8.32725
on	0	4	7.235084
on	0	5	7.340917
on	0	6	5.849875
on	0	7	4.40825
on	0	8	7.92875
on	0	9	6.212792
on	0	10	6.538542
on	0	11	5.523958
on	0	12	5.608833
on	0	13	4.686375
on	0	14	5.464625
on	0	15	5.6275
on	0	16	4.891209
on	0	17	4.443125
on	0	18	4.343583
on	0	19	3.539166
on	0	20	4.203042
on	0	21	6.179375
on	0	22	5.377458
on	0	23	6.894958
on	0	24	6.5375
on	0	25	4.392417
on	0	26	7.12125
on	0	27	4.564792
on	0	28	4.247833
on	0	29	4.494333
on	0	30	6.364959
on	0	31	4.516375
on	0	32	3.729417
on	0	33	3.653833
on	0	34	4.45575
on	0	35	3.98775
on	0	36	3.903333
on	0	37	6.022792
on	0	38	4.312625
on	0	39	4.042291
on	0	40	4.102208
on	0	41	4.869
on	0	42	6.938333
on	0	43	4.023125
on	0	44	5.33625
on	0	45	4.23825
on	0	46	4.227792
on	0	47	11.764125
on	0	48	4.418625
on	0	49	6.272375
on	1	0	4.324125
on	1	1	3.02875
on	1	2	2.998625
on	1	3	2.819916
on	1	4	2.445666
on	1	5	2.523334
on	1	6	3.302625
on	1	7	2.525166
on	1	8	2.375291
on	1	9	2.358125
on	1	10	3.204125
on	1	11	5.08575
on	1	12	3.632416
on	1	13	3.108666
on	1	14	3.419875
on	1	15	2.753959
on	1	16	2.482917
on	1	17	2.391125
on	1	18	2.155458
on	1	19	2.084916
on	1	20	2.1175
on	1	21	2.907417
on	1	22	3.099375
on	1	23	2.563541
on	1	24	2.298041
on	1	25	2.308167
on	1	26	2.517542
on	1	27	2.634791
on	1	28	2.515125
on	1	29	2.331292
on	1	30	2.638083
on	1	31	3.109542
on	1	32	2.449583
on	1	33	2.8235
on	1	34	2.660833
on	1	35	2.806666
on	1	36	2.490042
on	1	37	2.545125
on	1	38	2.579958
on	1	39	2.36
on	1	40	2.374667
on	1	41	2.256125
on	1	42	2.061291
on	1	43	2.513334
on	1	44	2.325292
on	1	45	2.459709
on	1	46	2.154334
on	1	47	2.322792
on	1	48	2.445292
on	1	49	2.805958
off	1	0	1.33375
off	1	1	1.431791
off	1	2	1.470166
off	1	3	1.652917
off	1	4	1.699833
off	1	5	1.602917
off	1	6	1.449125
off	1	7	1.451333
off	1	8	1.642917
off	1	9	4.30375
off	1	10	1.8335
off	1	11	1.879625
off	1	12	1.779167
off	1	13	2.083
off	1	14	1.584084
off	1	15	1.590667
off	1	16	1.477
off	1	17	1.349375
off	1	18	1.429875
off	1	19	1.355333
off	1	20	1.37175
off	1	21	1.574791
off	1	22	1.49125
off	1	23	1.58725
off	1	24	1.600916
off	1	25	1.743416
off	1	26	1.506917
off	1	27	1.440042
off	1	28	1.3575
off	1	29	1.386417
off	1	30	1.376292
off	1	31	1.4
off	1	32	1.504292
off	1	33	1.571625
off	1	34	1.53825
off	1	35	1.524083
off	1	36	1.717375
off	1	37	1.608584
off	1	38	1.591125
off	1	39	2.38075
off	1	40	1.792375
off	1	41	2.098958
off	1	42	2.459875
off	1	43	2.228125
off	1	44	1.897084
off	1	45	2.02425
off	1	46	1.700334
off	1	47	1.476209
off	1	48	1.492834
off	1	49	1.500459
