run_id	task	intent	arm	caller	oracle	gate	gate_green_defect	final_mechanism	mechanisms_seen	wall_s	refusals	diff_read	added	deleted	files	target_sha12	launched_at	num_turns	tool_calls	oracle_reason	outcome	tool_errors	fixture
I-03-heap-sample-retention__N__gpt-5.6-sol	I-03-heap-sample-retention	I	N	gpt-5.6-sol	pass	red	no	patch	patch	264.50	0	yes	17	0	1	314bc32d629b	2026-09-12T03:24:22Z	0	24	GREEN: I-03-heap-sample-retention: intent met, and every other byte of test/clj_surgeon/memory/heap.clj is where it was	completed	0	false
I-03-heap-sample-retention__N__gpt-6-astra	I-03-heap-sample-retention	I	N	gpt-6-astra	fail	red	no	patch	patch	114.15	0	yes	13	0	1	e7297133e52d	2026-09-12T03:23:53Z	0	14	RED: 9 failed assertion(s)	completed	0	false
R-02-recovery-require-measured__N__gpt-6-astra	R-02-recovery-require-measured	R	N	gpt-6-astra	pass	red	no	patch	patch	45.44	0	yes	1	0	1	6b222692a4b8	2026-09-12T03:23:02Z	0	10	GREEN: R-02-recovery-require-measured: intent met, and every other byte of test/clj_surgeon/recovery_test.clj is where it was	completed	0	false
R-04-namespace-split-require-cheshire__N__gpt-6-astra	R-04-namespace-split-require-cheshire	R	N	gpt-6-astra	pass	red	no	patch	patch	56.98	0	yes	1	0	1	1ec57dbb2d1d	2026-09-12T03:21:39Z	0	9	GREEN: R-04-namespace-split-require-cheshire: intent met, and every other byte of src/clj_surgeon/namespace_split.clj is where it was	completed	0	false
T-01-outline-memory-spec-marker__N__gpt-5.6-sol	T-01-outline-memory-spec-marker	T	N	gpt-5.6-sol	pass	red	no	patch	patch	55.43	0	yes	1	0	1	eadf10fec412	2026-09-12T03:21:36Z	0	9	GREEN: T-01-outline-memory-spec-marker: intent met, and every other byte of test/clj_surgeon/outline_memory_test.clj is where it was	completed	0	false
T-01-outline-memory-spec-marker__N__gpt-6-astra	T-01-outline-memory-spec-marker	T	N	gpt-6-astra	pass	red	no	patch	patch	69.95	0	yes	1	0	1	eadf10fec412	2026-09-12T03:25:55Z	0	10	GREEN: T-01-outline-memory-spec-marker: intent met, and every other byte of test/clj_surgeon/outline_memory_test.clj is where it was	completed	0	false
T-03-alias-migration-kind-count__N__gpt-6-astra	T-03-alias-migration-kind-count	T	N	gpt-6-astra	pass	red	no	patch	patch	103.37	0	yes	5	2	1	005f3179077f	2026-09-12T03:18:09Z	0	15	GREEN: T-03-alias-migration-kind-count: intent met, and every other byte of test/clj_surgeon/mcp_alias_migration_test.clj is where it was	completed	0	false
T-04-lane-manifest-total__N__gpt-5.6-sol	T-04-lane-manifest-total	T	N	gpt-5.6-sol	pass	red	no	patch	patch	99.27	0	yes	5	1	1	73de2c679520	2026-09-12T03:27:33Z	0	10	GREEN: T-04-lane-manifest-total: intent met, and every other byte of test/clj_surgeon/lane_manifest_test.clj is where it was	completed	0	false
example-R-e4__N__gpt-6-astra	example-R-e4	R	N	gpt-6-astra	pass	red	no	patch	patch	45.89	0	yes	3	17	2	02332a74caf1	2026-09-12T03:23:14Z	0	7	PASS (12 checks)	completed	0	false
