run_id	version	context	task	order	start_sha	final_sha	wall_ms	exit_code	input_tokens	cached_input_tokens	uncached_input_tokens	output_tokens	reasoning_output_tokens	shell_calls	file_changes	atomic_commands	clj_invocations	source_commands	source_output_bytes	total_tool_output_bytes	skill_read	show_form	grep_form	ls_used	help_used	text_reader	q_used	xray_used	partition_all_used	edit_used	expr_used	first_source_edit	plan_generated	plan_applied	plan_apply_separate	verified	exact_correct	correct
01-r01-ops-registry-xray-matched-skill-post	post	matched-skill	ops-registry-xray	1	71d4fface01ff54b1ce5f54a3691f0dd3e7c713e5f415de64376c4d706e2879e	71d4fface01ff54b1ce5f54a3691f0dd3e7c713e5f415de64376c4d706e2879e	29404	0	60942	48128	12814	1048	390	3	0	3	2	2	2835	6885	true	false	false	false	false	false	false	true	false	false	true	false	false	false	false	false	true	true
03-r01-case-edit-matched-skill-post	post	matched-skill	case-edit	3	8e074714f323b6bfba665e99d2c8b45a32ca87e8e5941bc4021e13d91c18648c	1a8735889f4d0343b86e95048615207d10f2643b69e6145ee5ece3658137c845	59374	0	98762	84480	14282	1698	777	8	0	8	3	6	17568	22242	true	false	true	false	false	false	false	false	false	true	true	false	true	true	true	true	true	true
