3797098:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:        120309        7444912  [B (java.base@21.0.11)
   2:        157946        6217248  [Ljava.lang.Object; (java.base@21.0.11)
   3:          4815        5242632  [Ljdk.internal.vm.FillerElement; (java.base@21.0.11)
   4:        115394        2769456  java.lang.String (java.base@21.0.11)
   5:        103930        2494320  clojure.lang.PersistentHashMap$BitmapIndexedNode
   6:         17457        2277888  java.lang.Class (java.base@21.0.11)
   7:         26520        1697280  java.util.concurrent.ConcurrentHashMap (java.base@21.0.11)
   8:         11606        1492896  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@21.0.11)
   9:         46501        1488032  java.util.concurrent.ConcurrentHashMap$Node (java.base@21.0.11)
  10:         37727        1207264  clojure.lang.Symbol
  11:         10417         916696  java.lang.reflect.Method (java.base@21.0.11)
  12:         17863         714520  java.lang.ref.SoftReference (java.base@21.0.11)
  13:         14329         687792  java.util.HashMap (java.base@21.0.11)
  14:          6569         683176  clojure.lang.DynamicClassLoader
  15:          4697         676368  [Lclojure.lang.PersistentHashMap$INode;
  16:         20282         649024  java.util.HashMap$Node (java.base@21.0.11)
  17:         12801         614448  java.lang.invoke.MemberName (java.base@21.0.11)
  18:         13907         556280  clojure.lang.PersistentVector
  19:          6671         533680  [Ljava.util.WeakHashMap$Entry; (java.base@21.0.11)
  20:         21796         523104  java.util.ArrayList (java.base@21.0.11)
  21:          6421         462312  java.lang.reflect.Constructor (java.base@21.0.11)
  22:         28526         456416  java.util.concurrent.atomic.AtomicReference (java.base@21.0.11)
  23:         13466         430912  clojure.lang.PersistentArrayMap
  24:           902         422920  [C (java.base@21.0.11)
  25:          6553         419392  java.lang.Class$ReflectionData (java.base@21.0.11)
  26:          6639         371784  java.lang.Module (java.base@21.0.11)
  27:          5437         370920  [I (java.base@21.0.11)
  28:          6667         320016  java.util.WeakHashMap (java.base@21.0.11)
  29:          2326         311600  [Ljava.util.HashMap$Node; (java.base@21.0.11)
  30:          5947         285456  java.lang.invoke.DirectMethodHandle$Constructor (java.base@21.0.11)
  31:          5942         285216  clojure.lang.Var
  32:          6613         264520  java.security.AccessControlContext (java.base@21.0.11)
  33:          6607         264280  java.security.ProtectionDomain (java.base@21.0.11)
  34:          6605         264200  java.security.CodeSource (java.base@21.0.11)
  35:          6570         262800  jdk.internal.loader.URLClassPath (java.base@21.0.11)
  36:          9457         247648  [Ljava.lang.Class; (java.base@21.0.11)
  37:          6980         223360  java.util.concurrent.locks.ReentrantLock$NonfairSync (java.base@21.0.11)
  38:          6690         214080  java.lang.ref.ReferenceQueue (java.base@21.0.11)
  39:          5323         212920  clojure.lang.PersistentList
  40:          6573         210336  jdk.internal.loader.NativeLibraries (java.base@21.0.11)
  41:          4483         179320  java.util.LinkedHashMap$Entry (java.base@21.0.11)
  42:          2325         167400  java.lang.reflect.Field (java.base@21.0.11)
  43:          6753         162072  java.lang.invoke.ResolvedMethodName (java.base@21.0.11)
  44:          6708         160992  java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject (java.base@21.0.11)
  45:          6699         160776  java.util.ArrayDeque (java.base@21.0.11)
  46:          6583         158016  [Ljava.security.ProtectionDomain; (java.base@21.0.11)
  47:          9288         148608  java.lang.Object (java.base@21.0.11)
  48:          5984         144912  [Ljava.lang.reflect.Constructor; (java.base@21.0.11)
  49:          5954         142896  java.lang.NamedPackage (java.base@21.0.11)
  50:          5766         138384  jdk.internal.reflect.DirectConstructorHandleAccessor (java.base@21.0.11)
  51:          3353         134120  clojure.lang.PersistentVector$ChunkedSeq
  52:          1392         132632  [Ljava.lang.reflect.Method; (java.base@21.0.11)
  53:          4697         112728  clojure.lang.PersistentHashMap$ArrayNode
  54:          6980         111680  java.util.concurrent.locks.ReentrantLock (java.base@21.0.11)
  55:          6607         105712  [Ljava.security.Principal; (java.base@21.0.11)
  56:          6607         105712  java.security.ProtectionDomain$Key (java.base@21.0.11)
  57:          3186         101952  java.lang.ref.WeakReference (java.base@21.0.11)
  58:          5952          95232  java.util.concurrent.atomic.AtomicBoolean (java.base@21.0.11)
  59:          1683          94248  org.apache.tika.mime.MimeType
  60:          1437          91968  java.util.LinkedHashMap (java.base@21.0.11)
  61:          2103          84120  sun.util.locale.LocaleObjectCache$CacheEntry (java.base@21.0.11)
  62:          4828          77248  java.lang.Integer (java.base@21.0.11)
  63:          3164          75936  clojure.lang.Keyword
  64:          1665          66600  clojure.lang.PersistentHashMap
  65:          1365          65520  org.apache.tika.detect.MagicDetector
  66:          1118          61928  [Ljava.lang.String; (java.base@21.0.11)
  67:          1846          59072  org.apache.tika.mime.MediaType
  68:          1365          54600  org.apache.tika.mime.MagicMatch
