name	started_utc	completed_utc	elapsed_ms	exit	receipt
a-login-shell	2026-09-12T06:42:57.978642+00:00	2026-09-12T06:43:04.488234+00:00	6509	1	a-login-shell.json
a-base	2026-09-12T06:43:26.368128+00:00	2026-09-12T06:43:33.808583+00:00	7440	1	a-launch.json
