run_id	task	intent	arm	caller	oracle	gate	gate_green_defect	final_mechanism	mechanisms_seen	wall_s	refusals	diff_read	added	deleted	files	target_sha12	launched_at	num_turns	tool_calls	oracle_reason	outcome	tool_errors
I-03-heap-sample-retention__A__claude-opus-5__r1	I-03-heap-sample-retention	I	A	claude-opus-5	fail	unrunnable	no	editor	editor	30.72	0	yes	17	0	1	e11a747db520	2026-09-11T00:20:32Z	4	3	RED: 9 failed assertion(s)	completed	0
I-03-heap-sample-retention__A__claude-sonnet-5__r1	I-03-heap-sample-retention	I	A	claude-sonnet-5	fail	unrunnable	no	editor	editor	18.95	0	no	15	0	1	39582a2d37e9	2026-09-11T00:21:00Z	3	2	RED: 8 failed assertion(s)	completed	0
I-03-heap-sample-retention__B__claude-opus-5__r1	I-03-heap-sample-retention	I	B	claude-opus-5	fail	unrunnable	no	editor	editor	24.10	0	yes	15	0	1	1b1b4295a452	2026-09-11T00:20:08Z	4	3	RED: 9 failed assertion(s)	completed	0
I-03-heap-sample-retention__B__claude-sonnet-5__r1	I-03-heap-sample-retention	I	B	claude-sonnet-5	fail	unrunnable	no	editor	editor	16.15	0	no	14	0	1	1475305df265	2026-09-11T00:21:00Z	3	2	RED: 9 failed assertion(s)	completed	0
I-03-heap-sample-retention__C__claude-opus-5__r1	I-03-heap-sample-retention	I	C	claude-opus-5	fail	unrunnable	no	surgeon	surgeon	44.48	0	yes	18	0	1	aa2299c533fc	2026-09-11T00:21:18Z	7	6	RED: 9 failed assertion(s)	completed	0
I-03-heap-sample-retention__C__claude-sonnet-5__r1	I-03-heap-sample-retention	I	C	claude-sonnet-5	fail	unrunnable	no	editor	editor	28.24	0	no	16	0	1	eb01d3749c06	2026-09-11T00:21:04Z	3	2	RED: 9 failed assertion(s)	completed	0
I-03-heap-sample-retention__N__claude-opus-5__r1	I-03-heap-sample-retention	I	N	claude-opus-5	fail	unrunnable	no	editor	editor	29.87	0	yes	14	0	1	7e8e9214be5e	2026-09-11T00:21:15Z	6	5	RED: 9 failed assertion(s)	completed	0
I-03-heap-sample-retention__N__claude-sonnet-5__r1	I-03-heap-sample-retention	I	N	claude-sonnet-5	fail	unrunnable	no	editor	editor	12.88	0	yes	14	0	1	436a40cd77db	2026-09-11T00:21:20Z	4	3	RED: 9 failed assertion(s)	completed	0
I-04-mission-display-decision-view__AC__claude-opus-5__r1	I-04-mission-display-decision-view	I	AC	claude-opus-5	pass	unrunnable	no	surgeon	surgeon	140.84	0	yes	28	0	1	a07dba3c9265	2026-09-10T23:55:22Z	18	17	GREEN: I-04-mission-display-decision-view: intent met, and every other byte of src/clj_surgeon/mission_display.clj is where it was	completed	0
I-04-mission-display-decision-view__AC__claude-sonnet-5__r1	I-04-mission-display-decision-view	I	AC	claude-sonnet-5	fail	unrunnable	no	editor	editor	133.17	0	yes	37	0	1	4dd245b1bbfb	2026-09-10T23:51:23Z	17	18	RED: 3 failed assertion(s)	completed	0
I-04-mission-display-decision-view__A__claude-opus-5__r1	I-04-mission-display-decision-view	I	A	claude-opus-5	pass	unrunnable	no	editor	editor	238	0	yes	28	0	1	4f1badc4647e	2026-09-10T23:51:23Z	22	18	GREEN: I-04-mission-display-decision-view: intent met, and every other byte of src/clj_surgeon/mission_display.clj is where it was	completed	0
I-04-mission-display-decision-view__A__claude-sonnet-5__r1	I-04-mission-display-decision-view	I	A	claude-sonnet-5	pass	unrunnable	no	editor	editor	247.02	0	yes	27	0	1	c337f56cc4fc	2026-09-10T23:55:32Z	22	21	GREEN: I-04-mission-display-decision-view: intent met, and every other byte of src/clj_surgeon/mission_display.clj is where it was	completed	0
I-04-mission-display-decision-view__B__claude-opus-5__r1	I-04-mission-display-decision-view	I	B	claude-opus-5	pass	unrunnable	no	editor	editor	473.93	0	yes	24	0	1	2a4647482b45	2026-09-10T23:55:34Z	19	18	GREEN: I-04-mission-display-decision-view: intent met, and every other byte of src/clj_surgeon/mission_display.clj is where it was	completed	0
I-04-mission-display-decision-view__B__claude-sonnet-5__r1	I-04-mission-display-decision-view	I	B	claude-sonnet-5	fail	unrunnable	no	editor	editor	113.73	0	yes	23	0	1	42b65a42fa42	2026-09-10T23:53:38Z	16	15	RED: 3 failed assertion(s)	completed	0
I-04-mission-display-decision-view__C__claude-opus-5__r1	I-04-mission-display-decision-view	I	C	claude-opus-5	pass	unrunnable	no	surgeon	surgeon	144.38	0	yes	25	0	1	a928ee4cf560	2026-09-10T23:51:23Z	17	16	GREEN: I-04-mission-display-decision-view: intent met, and every other byte of src/clj_surgeon/mission_display.clj is where it was	completed	0
I-04-mission-display-decision-view__C__claude-sonnet-5__r1	I-04-mission-display-decision-view	I	C	claude-sonnet-5	fail	unrunnable	no	editor	editor	104.93	0	no	25	0	1	cda2f980b391	2026-09-10T23:53:49Z	14	13	RED: 3 failed assertion(s)	completed	0
I-04-mission-display-decision-view__N__claude-opus-5__r1	I-04-mission-display-decision-view	I	N	claude-opus-5	pass	unrunnable	no	editor	editor	75.76	0	yes	24	0	1	68a01ee1ae16	2026-09-10T23:55:35Z	9	8	GREEN: I-04-mission-display-decision-view: intent met, and every other byte of src/clj_surgeon/mission_display.clj is where it was	completed	0
I-04-mission-display-decision-view__N__claude-sonnet-5__r1	I-04-mission-display-decision-view	I	N	claude-sonnet-5	pass	unrunnable	no	editor	editor	249.49	0	yes	30	0	1	672fe791e028	2026-09-10T23:51:23Z	19	15	GREEN: I-04-mission-display-decision-view: intent met, and every other byte of src/clj_surgeon/mission_display.clj is where it was	completed	0
R-01-core-discovery-require-edn__AC__claude-opus-5__r1	R-01-core-discovery-require-edn	R	AC	claude-opus-5	pass	unrunnable	no	editor	editor	29.99	0	yes	1	0	1	626ab94b79ec	2026-09-11T00:39:55Z	7	6	GREEN: R-01-core-discovery-require-edn: intent met, and every other byte of test/clj_surgeon/core_discovery_test.clj is where it was	completed	0
R-01-core-discovery-require-edn__AC__claude-sonnet-5__r1	R-01-core-discovery-require-edn	R	AC	claude-sonnet-5	pass	unrunnable	no	editor	editor	16.77	0	no	1	0	1	626ab94b79ec	2026-09-11T00:39:38Z	5	4	GREEN: R-01-core-discovery-require-edn: intent met, and every other byte of test/clj_surgeon/core_discovery_test.clj is where it was	completed	0
R-01-core-discovery-require-edn__A__claude-opus-5__r1	R-01-core-discovery-require-edn	R	A	claude-opus-5	pass	unrunnable	no	editor	editor	18.53	0	yes	1	0	1	626ab94b79ec	2026-09-11T00:40:17Z	5	4	GREEN: R-01-core-discovery-require-edn: intent met, and every other byte of test/clj_surgeon/core_discovery_test.clj is where it was	completed	0
R-01-core-discovery-require-edn__A__claude-sonnet-5__r1	R-01-core-discovery-require-edn	R	A	claude-sonnet-5	pass	unrunnable	no	editor	editor	13.09	0	no	1	0	1	626ab94b79ec	2026-09-11T00:40:16Z	4	3	GREEN: R-01-core-discovery-require-edn: intent met, and every other byte of test/clj_surgeon/core_discovery_test.clj is where it was	completed	0
R-01-core-discovery-require-edn__B__claude-opus-5__r1	R-01-core-discovery-require-edn	R	B	claude-opus-5	pass	unrunnable	no	editor	editor	16.40	0	yes	1	0	1	626ab94b79ec	2026-09-11T00:39:57Z	4	3	GREEN: R-01-core-discovery-require-edn: intent met, and every other byte of test/clj_surgeon/core_discovery_test.clj is where it was	completed	0
R-01-core-discovery-require-edn__B__claude-sonnet-5__r1	R-01-core-discovery-require-edn	R	B	claude-sonnet-5	pass	unrunnable	no	editor	editor	12.38	0	no	1	0	1	626ab94b79ec	2026-09-11T00:39:26Z	4	3	GREEN: R-01-core-discovery-require-edn: intent met, and every other byte of test/clj_surgeon/core_discovery_test.clj is where it was	completed	0
R-01-core-discovery-require-edn__C__claude-opus-5__r1	R-01-core-discovery-require-edn	R	C	claude-opus-5	pass	unrunnable	no	editor	editor	16.48	0	yes	1	0	1	626ab94b79ec	2026-09-11T00:40:22Z	4	3	GREEN: R-01-core-discovery-require-edn: intent met, and every other byte of test/clj_surgeon/core_discovery_test.clj is where it was	completed	0
R-01-core-discovery-require-edn__C__claude-sonnet-5__r1	R-01-core-discovery-require-edn	R	C	claude-sonnet-5	pass	unrunnable	no	editor	editor	9.90	0	no	1	0	1	626ab94b79ec	2026-09-11T00:40:10Z	4	3	GREEN: R-01-core-discovery-require-edn: intent met, and every other byte of test/clj_surgeon/core_discovery_test.clj is where it was	completed	0
R-01-core-discovery-require-edn__N__claude-opus-5__r1	R-01-core-discovery-require-edn	R	N	claude-opus-5	pass	unrunnable	no	editor	editor	13.51	0	yes	1	0	1	626ab94b79ec	2026-09-11T00:39:55Z	4	3	GREEN: R-01-core-discovery-require-edn: intent met, and every other byte of test/clj_surgeon/core_discovery_test.clj is where it was	completed	0
R-01-core-discovery-require-edn__N__claude-sonnet-5__r1	R-01-core-discovery-require-edn	R	N	claude-sonnet-5	pass	unrunnable	no	editor	editor	15.03	0	yes	1	0	1	626ab94b79ec	2026-09-11T00:39:39Z	5	4	GREEN: R-01-core-discovery-require-edn: intent met, and every other byte of test/clj_surgeon/core_discovery_test.clj is where it was	completed	0
R-02-recovery-require-measured__AC__claude-opus-5__r1	R-02-recovery-require-measured	R	AC	claude-opus-5	pass	unrunnable	no	editor	editor	50.32	0	yes	1	0	1	6b222692a4b8	2026-09-11T00:06:03Z	12	11	GREEN: R-02-recovery-require-measured: intent met, and every other byte of test/clj_surgeon/recovery_test.clj is where it was	completed	1
