run_id	task	intent	arm	caller	oracle	gate	gate_green_defect	final_mechanism	mechanisms_seen	wall_s	refusals	diff_read	added	deleted	files	target_sha12	launched_at	num_turns	tool_calls	oracle_reason	outcome	tool_errors
T-01-outline-memory-spec-marker__B__claude-opus-5__r1	T-01-outline-memory-spec-marker	T	B	claude-opus-5	pass	unrunnable	no	editor	editor	16.39	0	yes	1	0	1	eadf10fec412	2026-09-11T00:27:01Z	5	4	GREEN: T-01-outline-memory-spec-marker: intent met, and every other byte of test/clj_surgeon/outline_memory_test.clj is where it was	completed	0
T-01-outline-memory-spec-marker__B__claude-sonnet-5__r1	T-01-outline-memory-spec-marker	T	B	claude-sonnet-5	pass	unrunnable	no	editor	editor	9.99	0	no	1	0	1	eadf10fec412	2026-09-11T00:27:18Z	4	3	GREEN: T-01-outline-memory-spec-marker: intent met, and every other byte of test/clj_surgeon/outline_memory_test.clj is where it was	completed	0
T-01-outline-memory-spec-marker__C__claude-opus-5__r1	T-01-outline-memory-spec-marker	T	C	claude-opus-5	pass	unrunnable	no	editor	editor	16.51	0	yes	1	0	1	eadf10fec412	2026-09-11T00:25:56Z	5	4	GREEN: T-01-outline-memory-spec-marker: intent met, and every other byte of test/clj_surgeon/outline_memory_test.clj is where it was	completed	0
T-01-outline-memory-spec-marker__C__claude-sonnet-5__r1	T-01-outline-memory-spec-marker	T	C	claude-sonnet-5	pass	unrunnable	no	editor	editor	13.01	0	yes	1	0	1	eadf10fec412	2026-09-11T00:26:13Z	6	5	GREEN: T-01-outline-memory-spec-marker: intent met, and every other byte of test/clj_surgeon/outline_memory_test.clj is where it was	completed	0
T-01-outline-memory-spec-marker__N__claude-opus-5__r1	T-01-outline-memory-spec-marker	T	N	claude-opus-5	pass	unrunnable	no	editor	editor	14.46	0	yes	1	0	1	eadf10fec412	2026-09-11T00:26:52Z	5	4	GREEN: T-01-outline-memory-spec-marker: intent met, and every other byte of test/clj_surgeon/outline_memory_test.clj is where it was	completed	0
T-01-outline-memory-spec-marker__N__claude-sonnet-5__r1	T-01-outline-memory-spec-marker	T	N	claude-sonnet-5	pass	unrunnable	no	editor	editor	15.86	0	yes	1	0	1	eadf10fec412	2026-09-11T00:26:36Z	5	4	GREEN: T-01-outline-memory-spec-marker: intent met, and every other byte of test/clj_surgeon/outline_memory_test.clj is where it was	completed	0
T-02-study-row-line-range__AC__claude-opus-5__r1	T-02-study-row-line-range	T	AC	claude-opus-5	pass	unrunnable	no	editor	editor	154.43	0	yes	2	1	1	13d484314872	2026-09-11T00:13:36Z	16	15	GREEN: T-02-study-row-line-range: intent met, and every other byte of test/clj_surgeon/mcp_study_test.clj is where it was	completed	0
T-02-study-row-line-range__AC__claude-sonnet-5__r1	T-02-study-row-line-range	T	AC	claude-sonnet-5	pass	unrunnable	no	editor	editor	128.29	0	yes	2	1	1	6cab84d9e907	2026-09-11T00:18:23Z	17	16	GREEN: T-02-study-row-line-range: intent met, and every other byte of test/clj_surgeon/mcp_study_test.clj is where it was	completed	0
T-02-study-row-line-range__A__claude-opus-5__r1	T-02-study-row-line-range	T	A	claude-opus-5	fail	unrunnable	no	editor	editor	214.63	0	yes	2	1	1	aa8f9c523e99	2026-09-11T00:13:37Z	13	12	RED: 1 failed assertion(s)	completed	0
T-02-study-row-line-range__A__claude-sonnet-5__r1	T-02-study-row-line-range	T	A	claude-sonnet-5	pass	unrunnable	no	editor	editor	142.80	0	yes	1	1	1	96bf0962f906	2026-09-11T00:16:12Z	15	14	GREEN: T-02-study-row-line-range: intent met, and every other byte of test/clj_surgeon/mcp_study_test.clj is where it was	completed	0
T-02-study-row-line-range__B__claude-opus-5__r1	T-02-study-row-line-range	T	B	claude-opus-5	fail	unrunnable	no	editor	editor	118.15	0	yes	2	1	1	aa8f9c523e99	2026-09-11T00:14:51Z	10	9	RED: 1 failed assertion(s)	completed	0
T-02-study-row-line-range__B__claude-sonnet-5__r1	T-02-study-row-line-range	T	B	claude-sonnet-5	pass	unrunnable	no	editor	editor	142.89	0	yes	1	1	1	96bf0962f906	2026-09-11T00:18:36Z	21	20	GREEN: T-02-study-row-line-range: intent met, and every other byte of test/clj_surgeon/mcp_study_test.clj is where it was	completed	0
T-02-study-row-line-range__C__claude-opus-5__r1	T-02-study-row-line-range	T	C	claude-opus-5	pass	unrunnable	no	editor	editor	225.82	0	yes	1	1	1	2ed355f26f19	2026-09-11T00:17:13Z	11	10	GREEN: T-02-study-row-line-range: intent met, and every other byte of test/clj_surgeon/mcp_study_test.clj is where it was	completed	0
T-02-study-row-line-range__C__claude-sonnet-5__r1	T-02-study-row-line-range	T	C	claude-sonnet-5	fail	unrunnable	no	editor	editor	175.56	0	yes	1	1	1	ad300376fd26	2026-09-11T00:16:50Z	16	15	RED: 1 failed assertion(s)	completed	1
T-02-study-row-line-range__N__claude-opus-5__r1	T-02-study-row-line-range	T	N	claude-opus-5	pass	unrunnable	no	editor	editor	55.87	0	yes	1	1	1	2ed355f26f19	2026-09-11T00:13:54Z	13	12	GREEN: T-02-study-row-line-range: intent met, and every other byte of test/clj_surgeon/mcp_study_test.clj is where it was	completed	0
T-02-study-row-line-range__N__claude-sonnet-5__r1	T-02-study-row-line-range	T	N	claude-sonnet-5	pass	unrunnable	no	editor	editor	135.87	0	yes	1	1	1	2ed355f26f19	2026-09-11T00:16:05Z	17	16	GREEN: T-02-study-row-line-range: intent met, and every other byte of test/clj_surgeon/mcp_study_test.clj is where it was	completed	0
T-03-alias-migration-kind-count__AC__claude-opus-5__r1	T-03-alias-migration-kind-count	T	AC	claude-opus-5	pass	green	no	editor	editor	92.43	0	yes	11	2	1	5706c5675907	2026-09-11T00:27:24Z	13	12	GREEN: T-03-alias-migration-kind-count: intent met, and every other byte of test/clj_surgeon/mcp_alias_migration_test.clj is where it was	completed	0
T-03-alias-migration-kind-count__AC__claude-sonnet-5__r1	T-03-alias-migration-kind-count	T	AC	claude-sonnet-5	pass	green	no	editor	editor	129.15	0	yes	13	3	1	5234f6a9d2f7	2026-09-11T00:36:31Z	26	25	GREEN: T-03-alias-migration-kind-count: intent met, and every other byte of test/clj_surgeon/mcp_alias_migration_test.clj is where it was	completed	0
T-03-alias-migration-kind-count__A__claude-opus-5__r1	T-03-alias-migration-kind-count	T	A	claude-opus-5	pass	green	no	editor	editor	100.78	0	yes	10	2	1	920de4810c65	2026-09-11T00:30:16Z	12	11	GREEN: T-03-alias-migration-kind-count: intent met, and every other byte of test/clj_surgeon/mcp_alias_migration_test.clj is where it was	completed	0
T-03-alias-migration-kind-count__A__claude-sonnet-5__r1	T-03-alias-migration-kind-count	T	A	claude-sonnet-5	pass	green	no	editor	editor	483.54	0	yes	10	2	1	2465683b6e99	2026-09-11T00:30:52Z	32	31	GREEN: T-03-alias-migration-kind-count: intent met, and every other byte of test/clj_surgeon/mcp_alias_migration_test.clj is where it was	completed	1
T-03-alias-migration-kind-count__B__claude-opus-5__r1	T-03-alias-migration-kind-count	T	B	claude-opus-5	pass	green	no	editor	editor	94.53	0	yes	10	2	1	a94fb25364db	2026-09-11T00:27:59Z	14	13	GREEN: T-03-alias-migration-kind-count: intent met, and every other byte of test/clj_surgeon/mcp_alias_migration_test.clj is where it was	completed	0
T-03-alias-migration-kind-count__B__claude-sonnet-5__r1	T-03-alias-migration-kind-count	T	B	claude-sonnet-5	pass	green	no	editor	editor	296.31	0	yes	10	2	1	5a5f9afa8e57	2026-09-11T00:30:16Z	30	29	GREEN: T-03-alias-migration-kind-count: intent met, and every other byte of test/clj_surgeon/mcp_alias_migration_test.clj is where it was	completed	0
T-03-alias-migration-kind-count__C__claude-opus-5__r1	T-03-alias-migration-kind-count	T	C	claude-opus-5	pass	green	no	program	editor,program	88.38	0	no	11	2	1	419bc5da8cd7	2026-09-11T00:27:29Z	11	10	GREEN: T-03-alias-migration-kind-count: intent met, and every other byte of test/clj_surgeon/mcp_alias_migration_test.clj is where it was	completed	0
T-03-alias-migration-kind-count__C__claude-sonnet-5__r1	T-03-alias-migration-kind-count	T	C	claude-sonnet-5	pass	green	no	editor	editor	336.93	0	yes	11	2	1	aab630d01a1d	2026-09-11T00:30:17Z	28	27	GREEN: T-03-alias-migration-kind-count: intent met, and every other byte of test/clj_surgeon/mcp_alias_migration_test.clj is where it was	completed	1
T-03-alias-migration-kind-count__N__claude-opus-5__r1	T-03-alias-migration-kind-count	T	N	claude-opus-5	pass	green	no	editor	editor	86.96	0	yes	11	2	1	54c14b56ef16	2026-09-11T00:27:30Z	13	12	GREEN: T-03-alias-migration-kind-count: intent met, and every other byte of test/clj_surgeon/mcp_alias_migration_test.clj is where it was	completed	0
T-03-alias-migration-kind-count__N__claude-sonnet-5__r1	T-03-alias-migration-kind-count	T	N	claude-sonnet-5	pass	green	no	editor	editor	137.11	0	yes	16	3	1	9c27beeae85d	2026-09-11T00:33:15Z	18	17	GREEN: T-03-alias-migration-kind-count: intent met, and every other byte of test/clj_surgeon/mcp_alias_migration_test.clj is where it was	completed	0
T-04-lane-manifest-total__AC__claude-opus-5__r1	T-04-lane-manifest-total	T	AC	claude-opus-5	pass	red	no	editor	editor	78.93	0	yes	7	1	1	9e2cb00d444b	2026-09-11T00:24:32Z	15	14	GREEN: T-04-lane-manifest-total: intent met, and every other byte of test/clj_surgeon/lane_manifest_test.clj is where it was	completed	0
T-04-lane-manifest-total__AC__claude-sonnet-5__r1	T-04-lane-manifest-total	T	AC	claude-sonnet-5	pass	red	no	editor	editor	110.27	0	no	8	1	1	78098db0a2af	2026-09-11T00:25:34Z	21	20	GREEN: T-04-lane-manifest-total: intent met, and every other byte of test/clj_surgeon/lane_manifest_test.clj is where it was	completed	1
T-04-lane-manifest-total__A__claude-opus-5__r1	T-04-lane-manifest-total	T	A	claude-opus-5	pass	red	no	editor	editor	79	0	yes	9	1	1	c483e653c01e	2026-09-11T00:24:56Z	14	13	GREEN: T-04-lane-manifest-total: intent met, and every other byte of test/clj_surgeon/lane_manifest_test.clj is where it was	completed	0
T-04-lane-manifest-total__A__claude-sonnet-5__r1	T-04-lane-manifest-total	T	A	claude-sonnet-5	pass	red	no	editor	editor	189.26	0	no	8	1	1	c77ea3551d07	2026-09-11T00:24:42Z	28	27	GREEN: T-04-lane-manifest-total: intent met, and every other byte of test/clj_surgeon/lane_manifest_test.clj is where it was	completed	0
T-04-lane-manifest-total__B__claude-opus-5__r1	T-04-lane-manifest-total	T	B	claude-opus-5	pass	red	no	editor	editor	87.18	0	yes	7	1	1	7030f5379abb	2026-09-11T00:21:33Z	16	15	GREEN: T-04-lane-manifest-total: intent met, and every other byte of test/clj_surgeon/lane_manifest_test.clj is where it was	completed	0
T-04-lane-manifest-total__B__claude-sonnet-5__r1	T-04-lane-manifest-total	T	B	claude-sonnet-5	pass	red	no	editor	editor	140.16	0	no	8	1	1	1cd7c6490db6	2026-09-11T00:23:08Z	23	22	GREEN: T-04-lane-manifest-total: intent met, and every other byte of test/clj_surgeon/lane_manifest_test.clj is where it was	completed	2
T-04-lane-manifest-total__C__claude-opus-5__r1	T-04-lane-manifest-total	T	C	claude-opus-5	pass	red	no	editor	editor	83.49	0	no	7	1	1	f3d2d763bec7	2026-09-11T00:21:46Z	13	12	GREEN: T-04-lane-manifest-total: intent met, and every other byte of test/clj_surgeon/lane_manifest_test.clj is where it was	completed	0
T-04-lane-manifest-total__C__claude-sonnet-5__r1	T-04-lane-manifest-total	T	C	claude-sonnet-5	pass	red	no	editor	editor	171.72	0	yes	9	1	1	f7cb1e02db86	2026-09-11T00:21:34Z	31	30	GREEN: T-04-lane-manifest-total: intent met, and every other byte of test/clj_surgeon/lane_manifest_test.clj is where it was	completed	0
T-04-lane-manifest-total__N__claude-opus-5__r1	T-04-lane-manifest-total	T	N	claude-opus-5	pass	red	no	editor	editor	81.25	0	yes	7	1	1	1f29c8012dfb	2026-09-11T00:23:15Z	16	15	GREEN: T-04-lane-manifest-total: intent met, and every other byte of test/clj_surgeon/lane_manifest_test.clj is where it was	completed	0
T-04-lane-manifest-total__N__claude-sonnet-5__r1	T-04-lane-manifest-total	T	N	claude-sonnet-5	pass	red	no	editor	editor	167.13	0	yes	7	1	1	dd77095d13a0	2026-09-11T00:22:03Z	23	22	GREEN: T-04-lane-manifest-total: intent met, and every other byte of test/clj_surgeon/lane_manifest_test.clj is where it was	completed	0
